ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 03/06/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 17 (Oracle 11g);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)"
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;
Bahia;Recôncavo;1-ALV-2-BA;1ALV15502;TIÊ;Maha Energy;48610001427200839A;2019/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Ponto de Coleta do PA-1ALV2BA-REC-T-155;INSTALACAO EMB/DESEMB;0;2016/02;Tiê;37,6;< 210ºC;24,90%;210ºC a 500ºC;49,29%;> 500ºC;25,81%;72,3377;10,6073;7,3003;1,7263;3,203;0;0,6656;0,1872;0;0;0;0;0;0;3,515;0,4576;2,071279;536,61982;39535,5042
Bahia;Recôncavo;1-ALV-8D-BA;1-ALV-182-B1-BA;Mãe-da-lua;Alvopetro;48610001427200800;2019/04;11,1464;0,0000;11,1464;0,1333;0,0000;0,1333;3,99899;0,0000;Ponto de Coleta Poço 1ALVBDBA REC-T-182;INSTALACAO EMB/DESEMB;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;1-AN-1-SE;1AN  0001  SE;ANGELIM;Petrobras;480000038439763;2019/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26,94%;290ºC a 380ºC;14,36%;> 380ºC;58,70%;70,41;9,13;7,66;2,65;3,86;1,68;1,31;0,56;0,19;0,29;0;0,13;0;0;1,63;0,5;2,106202;540,769874;39994,6596
Sergipe;Sergipe;1-AN-3-SE;1AN  0003  SE;ANGELIM;Petrobras;480000038439763;2019/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26,94%;290ºC a 380ºC;14,36%;> 380ºC;58,70%;70,41;9,13;7,66;2,65;3,86;1,68;1,31;0,56;0,19;0,29;0;0,13;0;0;1,63;0,5;2,106202;540,769874;39994,6596
Rio Grande do Norte;Potiguar;1-AP-2-RN;1AP  0002  RN;CANTO DO AMARO;Petrobras;480000037929724;2019/04;9,0066;0,0000;9,0066;0,0014;0,0000;0,0014;0,04266;566,7444;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;716;2018/02;RGN Mistura;26,8;< 290ºC;27,18%;290ºC a 380ºC;13,95%;> 380ºC;58,87%;66,9;14,216;8,948;2,252;3,162;1,172;0,882;0,586;0,208;0,066;0,029;0,025;0;0,014;1,307;0,233;2,057322;534,915439;41987,0323
Rio Grande do Norte;Potiguar;1-ARG-1-RN;1ARG 0001  RN;ALTO DO RODRIGUES;Petrobras;480000037849704;2019/04;25,9218;0,0000;25,9218;0,0206;0,0000;0,0206;0,61833;176,8753;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;707;2018/02;RGN Mistura;26,8;< 290ºC;27,18%;290ºC a 380ºC;13,95%;> 380ºC;58,87%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,448635;580,830189;29910,4577
Sergipe;Sergipe;1-ARI-1-SE;1ARI 0001  SE;ARUARI;Petrobras;480000038449726;2019/04;5,4541;0,0000;5,4541;0,0043;0,0000;0,0043;0,12993;26,9558;Aruari;INSTALACAO EMB/DESEMB;720;2017/02;Sergipano Terra;24,6;< 290ºC;26,94%;290ºC a 380ºC;14,36%;> 380ºC;58,70%;50,34;18;14,42;4,35;5,51;2,16;1,45;0,51;0,12;0,13;0;0,04;0,01;0,04;2,78;0,14;2,074102;536,93617;43504,8936
Rio Grande do Norte;Potiguar;1-AURI-22-RN;1AURI22RN;JOÃO DE BARRO;Imetame;486100095092003;2019/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de João de Barro (POT-T-302);INSTALACAO EMB/DESEMB;0;2015/07;Joao de Barro;42,1;< 210ºC;35,20%;210ºC a 500ºC;51,30%;> 500ºC;13,50%;69,02;12,984;7,73;1,81;2,573;0,999;0,754;1,852;0;0;0;0;0;0;0,932;1,35;2,049355;533,939997;41153,1929
